id,npep,supplyT_F,storageT_F,onFrac,offFract,onT,offT,outletLoadUpT,onFractLoadUp,offFractLoadUp,onLoadUpT,offLoadUpT,onFracShed,offFractShed,onShedT,offShedT,schematic,recirc_flow_gpm,recirc_return_temp,doLoadShift,compRuntime_hr
1,200,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,16
2,200,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,9
3,100,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,16
4,100,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,9
5,500,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,16
6,500,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,mprtp,6,110,FALSE,9
7,200,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,16
8,200,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,13
9,100,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,16
10,100,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,14
11,500,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,16
12,500,120,140,0.2,0.2,125,140,140,0.2,0.2,135,140,0.2,0.2,120,130,sprtp,6,110,FALSE,12
13,100,120,140,0.3,0.1,125,130,140,0.1,0.05,125,130,0.65,0.3,125,130,sprtp,6,110,FALSE,16
14,100,120,140,0.3,0.1,125,130,140,0.1,0.05,125,130,0.65,0.3,125,130,sprtp,6,110,TRUE,16
15,500,120,140,0.3,0.1,125,130,140,0.1,0.05,125,130,0.65,0.3,125,130,sprtp,6,110,FALSE,16
16,500,120,140,0.3,0.1,125,130,140,0.1,0.05,125,130,0.65,0.3,125,130,sprtp,6,110,TRUE,16
17,100,120,140,0.45,0.1,125,130,140,0.25,0.05,125,130,0.85,0.3,125,130,sprtp,6,110,FALSE,16
18,100,120,140,0.45,0.1,125,130,140,0.25,0.05,125,130,0.85,0.3,125,130,sprtp,6,110,TRUE,16
19,500,120,140,0.45,0.1,125,130,140,0.25,0.05,125,130,0.85,0.3,125,130,sprtp,6,110,FALSE,16
20,500,120,140,0.45,0.1,125,130,140,0.25,0.05,125,130,0.85,0.3,125,130,sprtp,6,110,TRUE,16
21,100,120,140,0.45,0.25,125,130,140,0.25,0.05,125,130,0.85,0.45,125,130,sprtp,6,110,FALSE,16
22,100,120,140,0.45,0.25,125,130,140,0.25,0.05,125,130,0.85,0.45,125,130,sprtp,6,110,TRUE,16
23,500,120,140,0.45,0.25,125,130,140,0.25,0.05,125,130,0.85,0.45,125,130,sprtp,6,110,FALSE,16
24,500,120,140,0.45,0.25,125,130,140,0.25,0.05,125,130,0.85,0.45,125,130,sprtp,6,110,TRUE,16
25,100,120,150,0.3,0.1,120,140,150,0.1,0.05,120,125,0.65,0.3,120,140,swingtank,6,110,FALSE,16
