1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
50.108,52.934,58.964,55.994,53.24,51.476,63.032,59.522,48.8,45.5,47.9,51.5,41.7,40.6,45.5,37.3,41.2,37.3,34.6,39.5,45.4
48.614,54.32,59.27,56.498,51.116,52.268,63.806,52.232,47.4,47.1,47.4,48.6,38.6,39.9,42,33.5,37.6,33.4,34,36.3,45.2
47.912,56.228,60.656,58.766,51.548,55.85,67.352,46.922,47.1,50.1,48.6,46.8,37.9,41.8,41.3,32.7,36.8,32.6,35.8,35.6,46
47.894,57.812,62.186,61.304,53.312,59.828,71.312,44.51,47.5,53,50.3,46.3,38.9,44.3,42.3,33.9,37.9,33.7,38.3,36.6,46.2
49.01,60.404,65.516,66.812,59.126,68.468,79.88,44.708,49.6,58.2,54.7,47.3,43.6,50.9,47.6,39.5,43.3,39.6,44.8,41.4,48.4
50.666,61.412,67.658,70.322,64.382,73.994,85.352,49.064,51.9,60.8,57.9,49.7,48.6,55.9,53.2,45.6,49,46,49.6,46.5,50.1
52.43,61.214,68.72,72.086,68.594,76.748,88.07,55.598,54,61.4,60,52.7,53.2,59.1,58.4,51.2,54.3,51.7,52.8,51.2,51.8
53.942,59.882,68.468,71.69,70.862,76.136,87.458,62.906,55.4,59.9,60.5,55.6,56.4,59.8,62,55.1,58,55.8,53.5,54.5,53.7
54.734,57.776,66.956,69.17,70.376,72.176,83.552,68.774,55.8,56.6,59.2,57.6,57.2,57.9,62.8,56,58.9,56.7,51.6,55.3,53.3
54.59,55.526,64.652,65.372,67.424,66.218,77.63,71.546,55,52.6,56.6,58.1,55.4,53.8,60.8,53.8,56.8,54.4,47.6,53.4,51.7
53.528,53.636,62.06,61.088,62.618,59.504,70.97,70.628,53.2,48.6,53.1,56.9,51.4,48.6,56.3,48.9,52.2,49.4,42.4,49.3,48.9
51.926,52.7,60.026,57.722,57.542,54.212,65.732,66.308,51,46.1,50,54.6,46.5,43.8,50.8,43,46.6,43.3,37.8,44.3,46.6
