Weather Station,Building CZ
CA - Eureka,1
CA - San Francisco,2
CA - San Diego,3
CA - Los Angeles,4
CA - Sacramento,5
CA - Fresno,6
CA - Palm Springs,7
CA - Big Bear Lake,8
OR - Astoria Rgnl AP,9
OR - Medford-Rogue Valley Intl AP,10
OR - Portland Intl AP,11
WA - Seattle-Tacoma Intl AP,12
WA - Spokane-Felts Field,13
WA - Yakima Air Terminal-McAllister Field,14
ID - Boise Air Terminal,15
ID - Idaho Falls-Fanning Field,16
MT - Billings-Logan Intl AP,17
MT - Great Falls Intl AP,18
MT - Kalispell-Glacier Park Intl AP,19
MT - Missoula Intl AP,20
Vancouver BC,21
