Zip Code,Building CZ
90004,4
90005,4
90006,4
90010,4
90012,4
90013,4
90014,4
90015,4
90017,4
90019,4
90020,4
90021,4
90022,4
90023,4
90024,4
90026,4
90027,4
90028,4
90029,4
90030,4
90031,4
90032,4
90033,4
90035,4
90036,4
90038,4
90039,4
90041,4
90042,4
90046,4
90048,4
90050,4
90053,4
90054,4
90055,4
90057,4
90060,4
90063,4
90064,4
90065,4
90067,4
90068,4
90069,4
90070,4
90071,4
90072,4
90074,4
90075,4
90076,4
90077,4
90078,4
90079,4
90081,4
90084,4
90086,4
90087,4
90088,4
90093,4
90095,4
90099,4
90209,4
90210,4
90211,4
90212,4
90213,4
90601,4
90602,4
90603,4
90604,4
90605,4
90606,4
90607,4
90608,4
90609,4
90610,4
90637,4
90638,4
90639,4
90640,4
90660,4
90661,4
90662,4
90670,4
90671,4
91001,4
91003,4
91006,4
91007,4
91009,4
91010,4
91011,4
91012,4
91016,4
91017,4
91020,4
91021,4
91023,8
91024,4
91025,4
91030,4
91031,4
91040,8
91041,4
91042,8
91043,4
91046,4
91050,4
91051,4
91066,4
91077,4
91101,4
91102,4
91103,4
91104,4
91105,4
91106,4
91107,4
91108,4
91109,4
91110,4
91114,4
91115,4
91116,4
91117,4
91118,4
91121,4
91123,4
91124,4
91125,4
91126,4
91129,4
91131,4
91175,4
91182,4
91184,4
91185,4
91186,4
91187,4
91188,4
91189,4
91191,4
91201,4
91202,4
91203,4
91204,4
91205,4
91206,4
91207,4
91208,4
91209,4
91210,4
91214,4
91221,4
91222,4
91224,4
91225,4
91226,4
91301,4
91302,4
91303,4
91304,4
91305,4
91306,4
91307,4
91308,4
91309,4
91310,4
91311,4
91312,4
91313,4
91316,4
91319,4
91321,4
91322,4
91324,4
91325,4
91326,4
91327,4
91328,4
91329,4
91330,4
91331,4
91333,4
91334,4
91335,4
91337,4
91340,4
91341,4
91342,4
91343,4
91344,4
91345,4
91346,4
91350,4
91351,4
91352,4
91353,4
91354,4
91355,4
91356,4
91357,4
91358,4
91359,4
91360,4
91361,4
91362,4
91363,4
91364,4
91365,4
91367,4
91371,4
91372,4
91376,4
91377,4
91380,8
91381,4
91382,4
91383,4
91384,4
91385,4
91386,4
91388,4
91390,8
91392,4
91393,4
91394,4
91395,4
91396,4
91399,4
91401,4
91402,4
91403,4
91404,4
91405,4
91406,4
91407,4
91408,4
91409,4
91410,4
91411,4
91412,4
91413,4
91416,4
91423,4
91426,4
91436,4
91470,4
91482,4
91495,4
91496,4
91497,4
91499,4
91501,4
91502,4
91503,4
91504,4
91505,4
91506,4
91507,4
91508,4
91510,4
91521,4
91522,4
91523,4
91526,4
91601,4
91602,4
91603,4
91604,4
91605,4
91606,4
91607,4
91608,4
91609,4
91610,4
91611,4
91612,4
91614,4
91615,4
91616,4
91617,4
91618,4
91702,4
91706,4
91711,4
91714,4
91715,4
91716,4
91722,4
91723,4
91724,4
91731,4
91732,4
91733,4
91734,4
91735,4
91740,4
91741,4
91744,4
91745,4
91746,4
91747,4
91748,4
91749,4
91750,4
91754,4
91755,4
91756,4
91759,8
91765,4
91766,4
91767,4
91768,4
91769,4
91770,4
91771,4
91772,4
91773,4
91775,4
91776,4
91778,4
91780,4
91788,4
91789,4
91790,4
91791,4
91792,4
91793,4
91795,4
91797,4
91799,4
91801,4
91802,4
91803,4
91804,4
91841,4
91896,4
91899,4
91902,3
91908,3
91909,3
91910,3
91911,3
91912,3
91913,3
91915,3
91921,3
91932,3
91933,3
91941,3
91942,3
91943,3
91944,3
91945,3
91946,3
91947,3
91950,3
91951,3
92004,7
92007,3
92008,3
92009,3
92013,3
92014,3
92018,3
92023,3
92024,3
92037,3
92038,3
92039,3
92049,3
92051,3
92052,3
92054,3
92055,3
92056,3
92057,3
92058,3
92067,3
92068,3
92075,3
92081,3
92083,3
92084,3
92085,3
92091,3
92092,3
92093,3
92101,3
92102,3
92103,3
92104,3
92105,3
92106,3
92107,3
92108,3
92109,3
92110,3
92111,3
92112,3
92113,3
92114,3
92115,3
92116,3
92117,3
92118,3
92119,3
92120,3
92121,3
92122,3
92123,3
92124,3
92126,3
92129,3
92130,3
92132,3
92133,3
92134,3
92135,3
92136,3
92137,3
92138,3
92139,3
92140,3
92143,3
92145,3
92147,3
92149,3
92152,3
92153,3
92154,3
92155,3
92159,3
92160,3
92161,3
92162,3
92163,3
92164,3
92165,3
92166,3
92167,3
92168,3
92169,3
92170,3
92171,3
92172,3
92173,3
92174,3
92175,3
92176,3
92177,3
92178,3
92179,3
92182,3
92184,3
92186,3
92187,3
92190,3
92191,3
92192,3
92193,3
92194,3
92195,3
92196,3
92201,7
92202,7
92203,7
92210,7
92211,7
92220,7
92222,7
92225,7
92226,7
92227,7
92230,7
92231,7
92232,7
92233,7
92234,7
92235,7
92236,7
92239,7
92240,7
92241,7
92242,7
92243,7
92244,7
92249,7
92250,7
92251,7
92253,7
92254,7
92255,7
92257,7
92258,7
92259,7
92260,7
92261,7
92262,7
92263,7
92264,7
92267,7
92270,7
92273,7
92274,7
92275,7
92276,7
92280,7
92281,7
92282,7
92283,7
92292,7
92304,7
92305,8
92314,8
92315,8
92317,8
92321,8
92322,8
92325,8
92326,8
92333,8
92339,8
92341,8
92352,8
92358,8
92359,8
92363,7
92378,8
92382,8
92385,8
92386,8
92391,8
92397,8
92402,8
92404,8
92536,7
92539,8
92549,8
92561,8
93015,4
93016,4
93020,4
93021,4
93022,4
93023,4
93024,4
93040,4
93060,4
93061,4
93062,4
93063,4
93064,4
93065,4
93066,4
93093,4
93094,4
93099,4
93201,6
93202,6
93203,6
93204,6
93205,8
93206,6
93207,6
93208,8
93210,6
93212,6
93215,6
93216,6
93218,6
93219,6
93220,6
93221,6
93222,8
93223,6
93224,6
93225,8
93226,8
93227,6
93230,6
93231,6
93232,6
93234,6
93235,6
93237,6
93238,8
93239,6
93240,8
93241,6
93242,6
93243,8
93244,6
93245,6
93246,6
93247,6
93249,6
93250,6
93251,6
93252,6
93255,8
93256,6
93257,6
93258,6
93260,6
93261,6
93262,8
93263,6
93265,8
93266,6
93267,6
93268,6
93270,6
93271,6
93272,6
93274,6
93275,6
93276,6
93277,6
93278,6
93279,6
93280,6
93282,6
93283,8
93285,8
93286,6
93287,6
93291,6
93292,6
93301,6
93302,6
93303,6
93304,6
93305,6
93306,6
93307,6
93308,6
93309,6
93311,6
93312,6
93313,6
93314,6
93380,6
93381,6
93382,6
93383,6
93384,6
93385,6
93386,6
93387,6
93388,6
93389,6
93390,6
93512,8
93513,8
93514,8
93515,8
93517,8
93518,8
93522,8
93526,8
93527,8
93529,8
93530,8
93531,8
93541,8
93542,8
93545,8
93546,8
93549,8
93561,8
93563,8
93581,8
93601,6
93602,8
93603,6
93604,8
93605,8
93606,6
93607,6
93608,6
93609,6
93610,6
93611,6
93612,6
93613,6
93614,6
93615,6
93616,6
93618,6
93619,6
93620,5
93621,6
93622,6
93623,8
93624,6
93625,6
93626,6
93627,6
93628,8
93630,6
93631,6
93633,8
93634,8
93635,5
93636,6
93637,6
93638,6
93639,6
93640,6
93641,6
93642,8
93643,8
93644,6
93645,6
93646,6
93647,6
93648,6
93649,6
93650,6
93651,6
93652,6
93653,6
93654,6
93656,6
93657,6
93660,6
93661,5
93662,6
93664,8
93665,5
93666,6
93667,6
93668,6
93669,8
93670,6
93673,6
93675,6
93701,6
93702,6
93703,6
93704,6
93705,6
93706,6
93707,6
93708,6
93709,6
93710,6
93711,6
93712,6
93714,6
93715,6
93716,6
93717,6
93718,6
93720,6
93721,6
93722,6
93723,6
93724,6
93725,6
93726,6
93727,6
93728,6
93729,6
93730,6
93737,6
93740,6
93741,6
93744,6
93745,6
93747,6
93750,6
93755,6
93759,6
93760,6
93761,6
93762,6
93764,6
93765,6
93771,6
93772,6
93773,6
93774,6
93775,6
93776,6
93777,6
93778,6
93779,6
93780,6
93782,6
93784,6
93786,6
93790,6
93791,6
93792,6
93793,6
93794,6
93844,6
93888,6
93901,2
93902,2
93905,2
93906,2
93907,2
93908,2
93912,2
93915,2
93920,2
93921,2
93922,2
93923,2
93924,2
93925,2
93926,2
93933,2
93940,2
93942,2
93943,2
93944,2
93950,2
93953,2
93955,2
93960,2
93962,2
94002,2
94003,2
94005,2
94010,2
94011,2
94012,2
94014,2
94015,2
94016,2
94017,2
94018,2
94019,2
94020,2
94021,2
94025,2
94026,2
94027,2
94028,2
94029,2
94030,2
94031,2
94037,2
94038,2
94044,2
94045,2
94059,2
94060,2
94061,2
94062,2
94063,2
94064,2
94065,2
94066,2
94067,2
94070,2
94071,2
94074,2
94080,2
94083,2
94088,2
94096,2
94098,2
94099,2
94101,2
94102,2
94103,2
94104,2
94105,2
94106,2
94107,2
94108,2
94109,2
94110,2
94111,2
94112,2
94114,2
94115,2
94116,2
94117,2
94118,2
94119,2
94120,2
94121,2
94122,2
94123,2
94124,2
94125,2
94126,2
94127,2
94128,2
94129,2
94130,2
94131,2
94132,2
94133,2
94134,2
94135,2
94136,2
94137,2
94138,2
94139,2
94140,2
94141,2
94142,2
94143,2
94144,2
94145,2
94146,2
94147,2
94150,2
94151,2
94152,2
94153,2
94154,2
94155,2
94156,2
94157,2
94158,2
94159,2
94160,2
94161,2
94162,2
94163,2
94164,2
94165,2
94166,2
94167,2
94168,2
94169,2
94170,2
94171,2
94172,2
94175,2
94177,2
94188,2
94203,5
94204,5
94205,5
94206,5
94207,5
94208,5
94209,5
94211,5
94229,5
94230,5
94232,5
94234,5
94235,5
94236,5
94237,5
94239,5
94240,5
94243,5
94244,5
94245,5
94246,5
94247,5
94248,5
94249,5
94250,5
94252,5
94253,5
94254,5
94256,5
94257,5
94258,5
94259,5
94261,5
94262,5
94263,5
94267,5
94268,5
94269,5
94271,5
94273,5
94274,5
94277,5
94278,5
94279,5
94280,5
94282,5
94283,5
94284,5
94285,5
94286,5
94287,5
94288,5
94289,5
94290,5
94291,5
94293,5
94294,5
94295,5
94296,5
94297,5
94298,5
94299,5
94401,2
94402,2
94403,2
94404,2
94405,2
94406,2
94407,2
94408,2
94409,2
94497,2
94501,2
94502,2
94505,5
94506,5
94507,5
94509,5
94510,5
94511,5
94512,5
94513,5
94514,5
94516,5
94517,5
94518,5
94519,5
94520,5
94521,5
94522,5
94523,5
94524,5
94525,5
94526,5
94527,5
94528,5
94529,5
94530,2
94531,5
94533,5
94534,5
94535,5
94536,2
94537,2
94538,2
94539,2
94540,2
94541,2
94542,2
94543,2
94544,2
94545,2
94546,2
94547,2
94548,5
94549,5
94550,5
94551,5
94552,2
94553,5
94555,2
94556,5
94557,2
94560,2
94561,5
94563,5
94564,2
94565,5
94566,5
94568,5
94569,5
94570,5
94571,5
94572,2
94575,5
94577,2
94578,2
94579,2
94580,2
94582,5
94583,5
94585,5
94586,5
94587,2
94588,5
94589,2
94590,2
94591,5
94592,2
94595,5
94596,5
94597,5
94598,5
94601,2
94602,2
94603,2
94604,2
94605,2
94606,2
94607,2
94608,2
94609,2
94610,2
94611,2
94612,2
94613,2
94614,2
94615,2
94617,2
94618,2
94619,2
94620,2
94621,2
94623,2
94624,2
94625,2
94626,2
94627,2
94643,2
94649,2
94659,2
94660,2
94661,2
94662,2
94666,2
94701,2
94702,2
94703,2
94704,2
94705,2
94706,2
94707,2
94708,2
94709,2
94710,2
94712,2
94720,2
94801,2
94802,2
94803,2
94804,2
94805,2
94806,2
94807,2
94808,2
94820,2
94850,2
94920,2
94922,1
94923,1
94924,2
94925,2
94929,2
94933,2
94937,2
94938,2
94940,2
94941,2
94942,2
94950,2
94956,2
94965,2
94966,2
94970,2
94971,2
94976,2
94977,2
95001,2
95003,2
95005,2
95006,2
95007,2
95010,2
95012,2
95017,2
95018,2
95019,2
95026,2
95039,2
95041,2
95044,2
95060,2
95061,2
95062,2
95063,2
95064,2
95065,2
95066,2
95067,2
95073,2
95076,2
95077,2
95201,5
95202,5
95203,5
95204,5
95205,5
95206,5
95207,5
95208,5
95209,5
95210,5
95211,5
95212,5
95213,5
95215,5
95219,5
95220,5
95221,5
95222,5
95223,8
95224,8
95225,5
95226,5
95227,5
95228,5
95229,5
95230,5
95231,5
95232,5
95233,8
95234,5
95236,5
95237,5
95240,5
95241,5
95242,5
95245,5
95246,5
95247,5
95248,5
95249,5
95250,5
95251,5
95252,5
95253,5
95254,5
95255,5
95257,5
95258,5
95267,5
95269,5
95290,5
95296,5
95297,5
95298,5
95301,5
95303,5
95304,5
95305,5
95306,5
95307,5
95309,5
95310,5
95311,5
95312,5
95313,5
95314,8
95315,5
95316,5
95317,5
95318,8
95319,5
95320,5
95321,5
95322,5
95323,5
95324,5
95325,5
95326,5
95327,5
95328,5
95329,5
95330,5
95333,5
95334,5
95335,8
95336,5
95337,5
95338,5
95340,5
95341,5
95342,5
95343,5
95344,5
95345,5
95346,8
95347,5
95348,5
95350,5
95351,5
95352,5
95353,5
95354,5
95355,5
95356,5
95357,5
95358,5
95360,5
95361,5
95363,5
95364,8
95365,5
95366,5
95367,5
95368,5
95369,5
95370,5
95372,5
95373,5
95374,5
95375,8
95376,5
95377,5
95378,5
95379,5
95380,5
95381,5
95382,5
95383,5
95385,5
95386,5
95387,5
95388,5
95389,8
95390,5
95391,5
95397,5
95410,1
95412,1
95417,1
95420,1
95421,1
95427,1
95430,1
95432,1
95437,1
95445,1
95450,1
95456,1
95459,1
95460,1
95462,1
95465,1
95468,1
95480,1
95486,1
95488,1
95497,1
95501,1
95502,1
95503,1
95518,1
95519,1
95521,1
95524,1
95525,1
95527,8
95528,1
95531,1
95532,1
95534,1
95536,1
95537,1
95538,1
95540,1
95543,8
95545,1
95547,1
95548,1
95549,1
95551,1
95553,1
95555,1
95558,1
